algorithm,target,outer_fold,best_config,class_labels,inner_mae_mean,inner_qwk_mean
Softmax HP,GDS_R5,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.21676281116024332,0.4453884266517603
Softmax HP,GDS_R5,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22121463790562126,0.4178572877502167
Softmax HP,GDS_R5,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22011103379647293,0.45080090680229024
Softmax HP,GDS_R5,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2234592564327026,0.41813128008655626
Softmax HP,GDS_R5,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22323479457999448,0.43675901747809415
CORAL sin pesos,GDS_R5,1,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3888539726006899,0.4912566439138674
CORAL sin pesos,GDS_R5,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3810090308485406,0.488399956042125
CORAL sin pesos,GDS_R5,3,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.40228053242351464,0.48367527002724914
CORAL sin pesos,GDS_R5,4,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.38883526744629754,0.4811403196470508
CORAL sin pesos,GDS_R5,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.400671889145773,0.48212856514434455
CORAL con pesos,GDS_R5,1,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.38996131774071663,0.4915696846907866
CORAL con pesos,GDS_R5,2,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.36870852132013493,0.49754988048842325
CORAL con pesos,GDS_R5,3,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3866392823206362,0.5051398601678976
CORAL con pesos,GDS_R5,4,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.388831526415419,0.4855644711701194
CORAL con pesos,GDS_R5,5,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.4096017298526782,0.46955771463444407
CORN,GDS_R5,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.220103551734716,0.4417620155897124
CORN,GDS_R5,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2223519112926758,0.4353379689969907
CORN,GDS_R5,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22234817026179735,0.428466087631368
CORN,GDS_R5,4,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22011103379647293,0.4349315569374855
CORN,GDS_R5,5,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22434213972002126,0.43206730369232876
Softmax equiparado (argmax),GDS_R5,1,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2178813793929055,0.443981879893766
Softmax equiparado (argmax),GDS_R5,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22457408363448636,0.43590603400176064
Softmax equiparado (argmax),GDS_R5,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2212258609982567,0.4440371681822379
Softmax equiparado (argmax),GDS_R5,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22458904775800018,0.4324106227793583
Softmax equiparado (argmax),GDS_R5,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22434213972002123,0.4357477091805125
Softmax equiparado (mediana),GDS_R5,1,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2178813793929055,0.443981879893766
Softmax equiparado (mediana),GDS_R5,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22457408363448636,0.43590603400176064
Softmax equiparado (mediana),GDS_R5,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2212258609982567,0.4440371681822379
Softmax equiparado (mediana),GDS_R5,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22458904775800018,0.4324106227793583
Softmax equiparado (mediana),GDS_R5,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.22434213972002123,0.4357477091805125
